plantnum,fliesperwk,harvest,do.mg.l,do.pct,halfvol,lflen,lfwid,keelwid,diam1,diam2,leafarea,leafmass,ph,no3,nh4,po4,pct.n,ca.ppm,p.ppm,k.ppm,mg.ppm
102,12,3,0.04,0.5,14,159.8,41.8,19.8,22.5,16.5,83.44,0.63,7.24,NA,4.29,NA,1.89,386,2600,5317,1140.8
103,10,5,NA,NA,23,134.4,44.6,18.7,26.6,23.8,92.16,0.71,5.44,NA,1.93,NA,1.67,619.7,1846.5,4105.2,1255.8
104,10,2,1.82,21.4,20,157.4,39,17.4,20.3,16.2,84.08,0.76,NA,0.17,4.29,NA,1.35,370.8,1443.4,4191.3,1065.1
105,6,3,1.16,15.8,32,220.3,58.2,33.6,29,19,161.76,1.47,4.68,0.04,1.07,NA,0.99,246.8,903,4272.8,784.4
106,14,5,NA,NA,16,172.8,42.8,23.6,30.3,25,85.06,0.7,7.64,0.01,4.29,1.23,2.05,345.4,2067,3628.5,1222.4
107,14,4,NA,NA,12,135.4,37.2,14.5,24.7,20.2,84.98,0.55,NA,NA,NA,NA,2.12,378.7,2467.9,3349.7,1362.5
108,6,2,NA,NA,7,89.8,27.2,18.1,15.4,14.3,36.2,0.2,7.35,NA,NA,NA,2.08,380.7,3042.8,3346.5,1211.4
109,4,3,0.96,12.9,18,174.1,45.3,24.3,24.5,17.6,99.5,0.65,4.82,0.03,1.25,NA,1.59,472.8,1568.3,5239.2,904.2
110,14,2,NA,NA,13,129.8,38.8,21.9,22.9,16.4,72.16,0.57,NA,NA,NA,NA,2.84,560.6,2548.3,5074.4,1393.8
111,12,3,0.02,0.4,20,153.3,41.5,19.8,26.7,16.7,86.4,0.71,6.94,0.13,4.29,NA,2.12,510.8,1846,4458.3,1311.7
112,6,1,1.22,13.8,16,155.83,39.22,11.13,24.69,15.77,3.28,0.59,5.78,0.16,4.29,-0.03,1.63,186.1,1586.6,6614.7,1300.8
113,6,3,0.51,6.5,25,266.1,59.5,34.4,31,20.2,157.24,1.32,6.29,0.28,4.29,0.63,1.2,252.9,920.1,4515.9,693.1
114,0,4,2.18,28.2,19,204.3,46.4,22,30,18.2,117.98,1.14,6.62,0.07,0.26,NA,0.93,281.61,407.25,3713.71,607.36
115,12,2,0.03,0.4,7,95.8,29,9.5,20.5,14.1,38.76,0.24,NA,NA,NA,NA,2.57,337.8,2482.4,3669.3,986.3
116,0,1,4.19,44.9,31,206.38,35.76,13.59,32.16,24.87,5.03,0.95,6.33,0.06,0.07,-0.01,1.28,107.5,1703.7,5941.7,1272.7
117,0,3,2.36,30.8,12,134,31.8,15.2,22.8,16.6,66.16,0.46,6.15,0.12,4.29,NA,1.02,372.8,808.9,3632.4,1084.6
118,6,4,1.81,22.3,18,193.7,40.3,18.8,27.4,23.2,100.22,0.82,4.01,-0.04,NA,NA,1.31,394.6,1708.3,3785.7,853.4
119,6,3,1.23,16.9,25,180.5,51.6,34,31.7,23.8,133.8,1.17,5,1.25,0.27,0.25,1.32,316.3,1339.9,5266,938.9
120,14,3,0.01,0.2,29,172.1,46.3,24.4,27.5,21.1,119.94,1.08,6.24,0.18,4.29,1.74,1.42,374.1,1343.7,3637.3,1351.3
121,4,2,1.84,21.5,22,186.7,43.2,22.8,27.9,16.7,109.76,0.9,6.8,0.12,0.25,3.53,1.04,382.3,1108.4,5529.5,1195.3
122,12,3,0.56,7.1,33,188,47.3,26.7,30.8,22.2,133.94,1.01,5.84,0.27,4.29,0.52,1.37,400.6,1416.7,3290.1,717.7
123,6,5,NA,NA,27,174.4,51.8,18.2,28.9,21,115.06,1,6.17,0.08,1.52,1.04,1.19,518.9,931.6,3357.5,668.1
124,0,1,2.01,23.2,19,165.61,43.59,17.73,31.37,22.45,3.8,0.77,6.44,0.08,0.2,-0.01,1.35,211.9,1097.3,5519.1,1148.4
125,10,1,1.04,11.1,19,154.2,37.08,15.85,28.19,22.28,5.09,0.89,5.44,0.19,0.5,NA,1.48,276.4,1592.2,4922.1,1411.2
126,6,4,2.15,27.2,29,185.6,43.8,15.2,31,18.3,115.86,0.95,4.72,0.1,1.21,NA,1.21,446.9,792,3127.4,620.5
127,6,4,0.65,8.2,28,167.7,49.6,22.3,28.5,21.5,112.64,0.84,6.16,0.1,0.16,NA,1.28,540.1,1001.7,3474.4,711
128,0,5,NA,NA,7,99.5,28.5,11.6,19,13.6,40.32,0.22,7.63,NA,0.06,NA,0.97,426.2,939.2,2094,1728.7
129,14,4,2.02,24.7,23,144.3,47.1,24.9,28.2,17.2,105.64,0.85,6.96,0.06,4.29,NA,1.62,131.8,1822.9,6122.1,1346.3
130,10,2,2.83,33.1,26,143,38.5,10.2,30.2,17,82.64,0.54,6.73,-0.33,0.7,3.53,1.56,307.4,1398.7,2342.8,878.9
131,10,1,2.14,23.3,17,136.8,32.36,13.21,32.49,17.98,2.78,0.69,5.11,0.15,0.49,NA,1.73,261.8,2228.6,5724.1,1340.1
132,2,4,2.43,29.1,11,92.5,31.9,9.9,22.1,10.4,43.96,0.35,6.78,NA,0.83,NA,1.25,1014.4,771.8,1633.4,1169.2
133,2,5,NA,NA,12,116.1,33.5,16.9,24,16.3,61.18,0.5,6.5,0.15,0.35,NA,0.88,1067.3,608.4,2600.6,1269.9
134,12,3,0.02,0.3,8,155.2,36.3,20.3,20.3,17.3,69.16,0.38,7.23,NA,4.29,NA,2.21,445.4,2586.7,4989.8,947
135,4,5,NA,NA,29,220.6,46.1,19.1,35.7,21.3,133.06,0.14,4.78,-0.01,0.51,0.66,1.17,441,1486.5,4591.5,654.7
136,12,5,NA,NA,10,125.9,31.5,12.6,19.4,13.8,63.2,0.58,7.41,NA,4.29,NA,2.59,584.8,3574,5390.6,1803.9
137,4,4,3.12,36,25,160,39,15.5,30,23.3,108.34,0.89,4.89,0.08,4.29,NA,1.24,757.7,755.9,2628,635.3
138,10,3,NA,NA,6,147.6,37.9,19.2,19.1,14.6,63.34,0.46,NA,NA,NA,NA,2.27,297.9,2744.5,5068.6,1465.2
139,10,1,1.5,15.8,23,182.58,43.03,15.44,31.85,19.94,5.41,0.87,5.99,0.3,0.95,NA,1.5,253,1684.9,5778,1167.1
140,14,5,NA,NA,37,205.1,45.8,30.7,32.2,26.4,140.7,1.53,6.85,-0.01,1.46,0.67,1.49,302.2,1513.4,3690.6,1339.1
141,0,5,NA,NA,10,110,29.5,10,23.7,12.5,54.7,0.51,7.28,NA,0.09,NA,0.89,274.6,1018.1,3620.2,1067
142,2,3,2.19,29.6,31,216.5,51.5,33,30.5,28,137.76,1.38,4.52,0.03,1.42,NA,1.06,214.2,931.7,3353.5,1361.7
143,14,2,NA,NA,4,96.3,19.6,5.6,14.4,11.7,24.04,0.12,NA,NA,0.02,NA,2.47,236,2547.4,5800.9,1273.2
144,0,1,3.35,35.6,8,88.87,28.85,20.27,21.16,17.88,1.62,0.25,5.94,NA,NA,NA,1.11,374.4,989.8,5030.2,1412.3
145,8,1,1.45,15.2,9,125.02,33.32,24.1,23.67,20.85,2.08,0.32,6.58,NA,NA,NA,1.5,177.6,1400,8032.8,1364.6
146,0,4,2.56,30.9,29,187.1,46.4,25.9,34.2,19.5,136,1.28,4.72,-0.66,0.08,0.35,0.9,308.4,366.2,2452.5,850.5
147,2,5,NA,NA,16,203.8,32,10.5,26.8,19.1,83.68,0.73,7.37,NA,0.2,NA,1.22,193.9,900.3,3498.3,548.3
148,12,4,0.09,1.1,9,124.9,34,11.5,20.8,19.8,67.98,0.4,7.44,NA,NA,NA,2.7,890.6,3601.2,5252.2,1928.4
149,10,2,1.52,18,26,147.9,40.7,16.1,29,23.5,87.24,0.6,6.16,0.03,4.29,0.79,1.38,481.9,1656.3,4930.5,1357.2
150,6,1,2.53,27.1,32,194.79,45.97,23.22,32.99,27.53,7.08,1.33,6.73,0.16,0.22,0.84,1.32,130,1403.7,5444.6,1178.2
151,6,1,2.53,27.1,38,217.35,51.59,23.29,34.62,26.67,7.53,1.36,5.94,0.08,0.19,0.03,1.38,152.5,1606.1,6307.8,1243.5
152,10,5,NA,NA,36,230.9,50.7,22,30.2,24.4,155.9,1.81,4.1,0.02,1.04,0.35,1.49,595.9,1507.8,3469.6,978.1
153,6,3,2.13,29.7,17,171.8,30.2,11.4,31.5,12.8,83.38,0.64,6.27,0.06,1.12,NA,1.11,392.3,705.6,3592.6,611.6
154,14,1,1,10.5,42,199.26,48.08,24.18,32.23,23.22,7.05,1.35,6.43,0.7,4.29,1.49,1.43,215,1194.8,5618.8,1275
155,0,2,2.81,33,21,160.7,37.7,15,27.8,18.9,88.24,0.8,4.19,NA,0.32,NA,1.09,352.1,1280.1,3131.3,1068.4
156,0,3,3.88,48.8,23,139.7,31.3,9,26,24.1,68.6,0.45,4.7,0.08,0.21,NA,1.03,672.4,1400,4034.6,1218.8
157,0,2,2.52,29.3,22,167.7,47.2,18.5,33.1,18.5,106.04,0.97,5.72,0,0.14,0.03,1.04,176.2,765.3,3583.1,1549.1
158,4,5,NA,NA,22,170.1,39.7,18.6,26.8,20.8,102.04,1.06,6.98,0.18,0.81,0.28,1.19,570.2,964.8,3108.5,1285.3
159,4,3,1.96,24.3,35,202.8,49.2,18.4,31.5,19.8,129.16,1.47,4.75,0.15,0.7,1.22,1.31,322,1767.8,4326.6,1129.2
160,14,2,0.35,3.9,23,179,48.9,29,33.6,17.2,122.94,1.21,6.32,0.17,4.29,0.16,1.64,372.1,2076.8,4551.9,1496
161,8,5,NA,NA,40,193.4,40.1,20.4,34,33,128.78,1.46,3.74,0.04,1.11,NA,1.34,405.1,1064.1,2918.6,1180.9
162,8,4,1.1,13.7,22,175.9,30.8,16.3,26.2,25.6,96.72,0.97,6.82,-0.66,4.29,NA,1.12,610.3,846.9,3113.9,1568.2
163,2,1,2.45,27.1,25,138.48,46.91,20.17,26.59,24.08,4.9,0.99,4.88,0.11,0.11,0.98,1.27,268.11,853.05,4818.6,1536.88
164,0,2,NA,NA,6,72.6,25.1,11.3,25.3,13.7,28.9,0.19,8.11,NA,0.02,NA,0.88,669.3,891.4,2689.8,1893.7
165,4,1,0.12,1.4,7,115.42,37.69,21.41,20.4,13.67,3.42,0.4,6.11,0.38,NA,NA,1.36,265.1,1638,6564.4,1521.4
166,0,1,4.08,43.7,13,120.17,29.59,13.79,19.33,14.81,2.96,0.58,4.8,0.38,NA,NA,1.13,298.6,911.6,5002.4,1477
167,2,4,1.46,17.8,30,171.2,32.4,11.8,24.7,25.7,100.98,0.7,6.43,0.07,4.29,NA,1.06,367.2,1226.3,5670.6,594
168,14,4,1.02,12.6,8,120.5,46.4,23.8,21.9,15.6,66.98,0.56,7.5,NA,NA,NA,2.18,551.5,2707.3,6003.2,1587.3
169,0,4,2.78,35,31,155,52.1,26.1,29.4,22,109.86,0.74,4.2,0.04,0.12,0.47,1.34,1088.9,877.6,3954.1,610.1
170,14,1,0.01,0.1,7,111.96,24.97,9.35,18.11,16.21,1.05,0.2,7.7,NA,NA,NA,2.31,300.3,2099.2,6574.7,1320.2
171,0,3,0.44,6.3,45,204.1,46.5,28.6,33,24.9,165.06,1.49,5.76,0.14,2.3,0.17,0.91,245,900.3,3798.4,827.9
172,10,4,2.56,32,15,139,40,22.6,21.1,17.1,82.2,0.53,6.98,NA,0.71,NA,1.69,870.6,2562.5,4545.6,1072
173,6,2,2.28,27.5,34,242.6,45.2,17.8,35,23.1,124.22,1.13,6.17,0.02,1.98,0.23,1.29,295.7,1444,4721.7,769.3
174,10,5,NA,NA,28,177.8,37.2,13.8,33.2,26.6,101.7,0.82,6.35,-0.49,4.29,0.89,1.73,823.7,1566.9,3710.4,1134.1
175,12,4,0.74,9.2,25,169.2,45.8,24.3,28.9,25.4,108.54,0.98,6.36,NA,4.29,NA,1.62,140,1978,4154.2,1329.8
176,2,5,NA,NA,15,145.8,41.3,23.9,24.3,17.3,88.34,0.69,7.28,0.24,1.1,NA,1.47,828,897.8,3346.6,1079.2
177,12,5,NA,NA,50,160.1,35.9,14.5,27.6,26.4,107.56,1.04,6.56,0.02,4.29,0.67,0.68,840.2,1368.5,3649.7,1144.6
178,12,2,1.86,21.7,49,209.4,51.3,23.6,35.8,23.3,155.52,1.73,6.91,-0.38,0.63,0.17,1.03,301.9,1472.5,3519.5,1661.1
179,4,3,4.48,59.7,12,154.8,29,9.6,20.6,17.2,60,0.5,6.57,NA,0.99,NA,1.11,473.8,1263.9,3552.4,736.5
180,0,2,2.75,32.4,27,173.2,38.2,15.7,32,19.9,92.98,0.92,5.91,0.13,-0.01,3.53,0.99,202.7,1144,3356.7,1075.9
181,0,3,2.83,38,30,169.7,42.5,27.1,27.8,28,131.22,1.06,4.34,0.01,0.14,0.04,1.09,392.1,263.3,2790.1,1200
182,10,2,1.22,14.4,34,164.8,50.8,20.8,32.3,24.1,116.4,0.93,6.46,0.04,1.51,0.69,1.46,239.4,1803.4,6191.3,1511.8
183,2,1,2.9,32.1,24,139.75,43,20.27,27.28,24.43,3.99,0.9,5.02,0.26,NA,NA,1.12,404,967.4,4905.3,1996
184,10,4,1.28,16.8,23,158.7,48.4,30.3,26.3,21.1,116.94,1.37,6.42,0.17,1.26,NA,1.35,413.7,1099,3188,1019.7
185,4,1,3.54,38.3,28,218.36,45.67,15.04,30.99,19.84,5.27,0.94,6,0.02,0.1,0,1.63,190,1389.5,3712.8,988.6
186,6,3,0.63,8.9,44,206.8,48.3,24.1,35,29.1,155.14,1.69,4.85,0.11,0.65,0.11,1.37,179.6,1425.9,2983.2,885.5
187,14,2,0.28,3.3,12,131.7,37.2,11.8,32.3,18.9,67.42,0.62,7.4,-0.01,0.27,NA,1.9,574.9,2084.7,3252.1,1899.1
188,14,1,0.42,4.8,8,83.69,31.45,13.21,21.21,12.95,2.83,0.3,6.22,NA,4.29,NA,2,394.6,2282.3,4217.2,1801
189,6,5,NA,NA,16,133.9,38.6,14.9,23.2,17.2,72.72,0.76,6.86,0.26,0.76,NA,1.48,351.2,1324.4,2556.2,901.4
190,2,2,2.68,32,27,159.1,51,18.2,30.9,23.3,106.36,0.95,5.01,0.01,0.21,-0.13,1.09,514.5,1291.3,3733.5,1409.4
191,8,3,0.44,6.1,14,121,27.4,14.4,25.1,21.8,66.76,0.55,7.13,NA,4.29,NA,1.79,654.9,2254.3,5776.6,1225.7
192,10,2,0.62,7.4,15,126,31.1,12.4,25.7,21.7,66,0.47,6.7,0.06,4.29,NA,1.85,489.5,2056.2,4248.8,1292.2
193,4,2,1.82,21.8,4,68.5,24.6,6.7,18.5,10.8,25.08,0.15,7.19,NA,NA,NA,2.13,656.7,2887.2,6374.7,2516.4
194,8,3,0.01,0.1,6,97.9,21.6,9.8,16.9,12.6,36.3,0.22,7.46,NA,NA,NA,2.72,699.9,3594,4392.1,1914.1
195,4,1,0.02,0.3,12,112.67,34.32,8.18,24.71,17.53,2.89,0.4,6.97,0.05,4.29,NA,1.74,327.5,1518.2,4352.7,1460.3
196,14,3,0.04,0.7,18,152.3,36.6,16.9,24.9,20.6,81.82,0.64,7.06,-0.06,NA,NA,1.98,723.2,3309.1,4562.8,1456.2
197,12,1,0.52,5.8,17.5,128.91,37.34,16.51,26.54,21.87,3.9,0.62,5.95,0.12,0.4,NA,1.52,276.1,1697.6,5350.7,1583.4
198,4,4,1.76,22.6,35,193.1,56.5,31.7,31.7,17.6,124.16,1.57,4.7,-0.23,0.58,0.18,1.15,278.7,1194.4,3484.6,1011.9
199,8,1,NA,NA,21,136.45,40.44,17.32,27.1,19.84,3.83,0.74,NA,NA,NA,NA,1.39,244.2,1413.4,4885,1370.9
200,14,3,0.62,8.6,14,134.5,48.3,20,20.2,24.6,86.08,0.66,6.85,-0.02,NA,NA,1.38,408.8,2060.3,3275.9,1860
